form,id,number,domain,subdomain,type,units,handbook,code,edition_lock,cognitive,answer,miss_type
C,FPE-2027-C-027,27,3,3.B,mcq4,SI,"HB §3.4 Plumes and Flames","NFPA 92-2024",NFPA 92-2024,apply,A,arithmetic
C,FPE-2027-C-028,28,3,3.B,mcq4,US,"HB §7.1 Fundamentals","NFPA 92-2024",NFPA 92-2024,apply,A,arithmetic
C,FPE-2027-C-029,29,3,3.B,mcq4,SI,"HB §7.3 Airflow","NFPA 92-2024",NFPA 92-2024,apply,C,arithmetic
C,FPE-2027-C-030,30,3,3.B,mcq4,US,"HB §7.3 Airflow","NFPA 92-2024",NFPA 92-2024,apply,A,concept
C,FPE-2027-C-031,31,3,3.C,mcq4,none,"HB §7.1 Fundamentals","NFPA 92-2024 Ch. 8",NFPA 92-2024,apply,C,code-edition
C,FPE-2027-C-032,32,3,3.C,mcq4,none,"HB §7.1 Fundamentals","NFPA 92-2024",NFPA 92-2024,apply,B,concept
C,FPE-2027-C-033,33,4,4.A,mcq4,none,"HB §6.1 General Information","NFPA 72-2022 Ch. 23 / Ch. 24",NFPA 72-2022,apply,C,concept
C,FPE-2027-C-034,34,4,4.A,mcq4,none,"HB §6.1 General Information","NFPA 72-2022",NFPA 72-2022,apply,B,concept
C,FPE-2027-C-035,35,4,4.B,mcq4,US,"HB §6.4 Heat Detector Spacing","NFPA 72-2022 Ch. 17",NFPA 72-2022,apply,C,code-edition
C,FPE-2027-C-036,36,4,4.B,mcq4,none,"HB §6.1 General Information","NFPA 72-2022",NFPA 72-2022,apply,A,concept
C,FPE-2027-C-037,37,4,4.C,mcq4,US,"HB §6.8 Voltage Drop Calculation","NFPA 72-2022",NFPA 72-2022,apply,B,arithmetic
C,FPE-2027-C-038,38,4,4.D,mcq4,US,"HB §6.8 Voltage Drop Calculation","NFPA 72-2022",NFPA 72-2022,apply,A,arithmetic
C,FPE-2027-C-039,39,4,4.D,mcq4,US,"HB §6.1 General Information","NFPA 72-2022",NFPA 72-2022,apply,A,arithmetic
C,FPE-2027-C-040,40,4,4.D,mcq4,SI,"HB §6.6 Audibility Design","NFPA 72-2022 Ch. 18",NFPA 72-2022,apply,D,arithmetic
C,FPE-2027-C-041,41,4,4.D,mcq4,SI,"HB §6.2 Heat Detector RTI","",,apply,D,arithmetic
C,FPE-2027-C-042,42,4,4.B,mcq4,none,"HB §6.1 General Information","NFPA 72-2022 Ch. 21",NFPA 72-2022,apply,D,concept
C,FPE-2027-C-043,43,5,5.A,mcq4,none,"HB §4.4 Fire Sprinkler Systems","NFPA 13-2022 Ch. 8",NFPA 13-2022,apply,D,concept
C,FPE-2027-C-044,44,5,5.A,mcq4,none,"HB §4.4 Fire Sprinkler Systems","NFPA 13-2022",NFPA 13-2022,apply,D,concept
C,FPE-2027-C-045,45,5,5.B,mcq4,US,"HB §4.4 Fire Sprinkler Systems","NFPA 13-2022 §19.3",NFPA 13-2022,apply,D,arithmetic
C,FPE-2027-C-046,46,5,5.B,mcq4,SI,"HB §4.4 Fire Sprinkler Systems","NFPA 13-2022 §19.3",NFPA 13-2022,apply,D,arithmetic
C,FPE-2027-C-047,47,5,5.B,mcq4,US,"HB §4.4 Fire Sprinkler Systems","NFPA 13-2022",NFPA 13-2022,apply,D,arithmetic
C,FPE-2027-C-048,48,5,5.C,mcq4,US,"HB §4.4 Fire Sprinkler Systems","NFPA 13-2022",NFPA 13-2022,apply,D,arithmetic
C,FPE-2027-C-049,49,5,5.C,mcq4,US,"HB §4.8 Fire Pumps","NFPA 20-2022 Ch. 4 / Ch. 5",NFPA 20-2022,apply,D,concept
C,FPE-2027-C-050,50,5,5.C,mcq4,US,"HB §4.4 Fire Sprinkler Systems","NFPA 13-2022 / NFPA 20-2022",NFPA 13-2022,apply,D,arithmetic
C,FPE-2027-C-051,51,5,5.C,mcq4,none,"HB §4.4 Fire Sprinkler Systems","NFPA 13-2022",NFPA 13-2022,apply,D,concept
C,FPE-2027-C-052,52,5,5.D,mcq4,US,"HB §4.1 Fluid Mechanics","NFPA 13-2022",NFPA 13-2022,apply,D,arithmetic
C,FPE-2027-C-053,53,5,5.D,mcq4,SI,"HB §4.4 Fire Sprinkler Systems","NFPA 13-2022",NFPA 13-2022,apply,D,arithmetic
C,FPE-2027-C-054,54,5,5.D,mcq4,US,"HB §4.8 Fire Pumps","NFPA 20-2022",NFPA 20-2022,apply,D,arithmetic
C,FPE-2027-C-055,55,5,5.D,mcq4,US,"HB §4.5 Hydraulic Calculations","NFPA 13-2022",NFPA 13-2022,apply,D,arithmetic
C,FPE-2027-C-056,56,5,5.B,mcq4,US,"HB §2.4 Fire Protection Analysis—Information Sources","NFPA 13-2022 Ch. 20+",NFPA 13-2022,apply,D,handbook-search
C,FPE-2027-C-057,57,5,5.A,mcq4,none,"HB §4.4 Fire Sprinkler Systems","NFPA 13-2022",NFPA 13-2022,apply,D,concept
C,FPE-2027-C-058,58,6,6.A,mcq4,none,"HB §5.5 Clean Agents","NFPA 2001-2022",NFPA 2001-2022,apply,D,concept
C,FPE-2027-C-059,59,6,6.A,mcq4,none,"HB §5.1 Foam Agents","NFPA 11-2024",NFPA 11-2024,apply,D,code-edition
C,FPE-2027-C-060,60,6,6.B,mcq4,none,"HB §5.5 Clean Agents","NFPA 2001-2022",NFPA 2001-2022,apply,D,concept
C,FPE-2027-C-061,61,6,6.B,mcq4,US,"HB §5.5 Clean Agents","NFPA 2001-2022 Ch. 5",NFPA 2001-2022,apply,D,arithmetic
C,FPE-2027-C-062,62,6,6.D,mcq4,SI,"HB §5.5 Clean Agents","NFPA 2001-2022",NFPA 2001-2022,apply,D,arithmetic
C,FPE-2027-C-063,63,6,6.D,mcq4,US,"HB §8.1 Flammability","",,apply,D,concept
C,FPE-2027-C-064,64,6,6.A,mcq4,US,"HB §5.2 Low-Expansion Foam Systems","NFPA 11-2024",NFPA 11-2024,apply,D,arithmetic
C,FPE-2027-C-065,65,6,6.C,mcq4,none,"HB §5.5 Clean Agents","NFPA 2001-2022",NFPA 2001-2022,apply,D,concept
C,FPE-2027-C-066,66,6,6.A,mcq4,none,"HB §3.5 Flammable and Combustible Liquids Fires","NFPA 30-2024",NFPA 30-2024,apply,D,code-edition
C,FPE-2027-C-067,67,7,7.A,mcq4,none,"HB §9.1 General","",,apply,D,concept
C,FPE-2027-C-068,68,7,7.A,mcq4,none,"HB §9.1 General","",,apply,D,concept
C,FPE-2027-C-069,69,7,7.B,mcq4,US,"HB §9.1 General","NFPA 101-2024 Ch. 8",NFPA 101-2024,apply,D,concept
C,FPE-2027-C-070,70,7,7.B,mcq4,SI,"HB §10.5 Remoteness of Exits","NFPA 101-2024",NFPA 101-2024,apply,D,arithmetic
C,FPE-2027-C-071,71,7,7.C,mcq4,US,"HB §9.2 Steel","",,apply,D,concept
C,FPE-2027-C-072,72,7,7.C,mcq4,SI,"HB §9.4 Timber/Wood","",,apply,D,arithmetic
C,FPE-2027-C-073,73,7,7.C,mcq4,none,"HB §9.1 General","",,apply,D,concept
C,FPE-2027-C-074,74,7,7.D,mcq4,none,"HB §9.1 General","NFPA 101-2024",NFPA 101-2024,apply,D,concept
C,FPE-2027-C-075,75,7,7.D,mcq4,none,"HB §9.1 General","NFPA 101-2024",NFPA 101-2024,apply,D,concept
C,FPE-2027-C-076,76,7,7.D,mcq4,none,"HB §9.1 General","NFPA 101-2024",NFPA 101-2024,apply,D,code-edition
C,FPE-2027-C-077,77,8,8.A,mcq4,US,"HB §10.1 General","NFPA 101-2024 Table 7.3.1.2",NFPA 101-2024,apply,D,arithmetic
C,FPE-2027-C-078,78,8,8.A,mcq4,US,"HB §10.1 General","NFPA 101-2024",NFPA 101-2024,apply,A,arithmetic
C,FPE-2027-C-079,79,8,8.A,mcq4,SI,"HB §10.1 General","NFPA 101-2024",NFPA 101-2024,apply,C,code-edition
C,FPE-2027-C-080,80,8,8.A,mcq4,US,"HB §10.5 Remoteness of Exits","NFPA 101-2024",NFPA 101-2024,apply,A,arithmetic
C,FPE-2027-C-081,81,8,8.B,mcq4,SI,"HB §10.2 Evacuation Movement","",,apply,C,arithmetic
C,FPE-2027-C-082,82,8,8.B,mcq4,US,"HB §10.2 Evacuation Movement","",,apply,B,arithmetic
C,FPE-2027-C-083,83,8,8.C,mcq4,SI,"HB §10.3 Egress Behavior in Smoke","NFPA 92-2024",NFPA 92-2024,apply,C,concept
C,FPE-2027-C-084,84,8,8.C,mcq4,none,"HB §10.3 Egress Behavior in Smoke","",,apply,B,concept
C,FPE-2027-C-085,85,8,8.A,mcq4,US,"HB §10.4 Emergency Lights","NFPA 101-2024",NFPA 101-2024,apply,B,concept
